울산광역시 동구 남목2동|26103|7337.4|1174251|1727428|1175258 1727906;1175286 1727326;1175277 1727157;1175261 1726982;1175248 1726881;1174847 1726676;1173723 1726474;1173171 1726695;1173137 1726731;1173234 1726896;1173237 1726920;1173174 1727062;1173040 1727146;1172848 1727311;1173175 1727574;1174076 1728340;1174683 1728706;1174707 1728692;1174756 1728663;1174809 1728600;1174869 1728520;1175226 1728006;1175253 1727956;1175258 1727906
울산광역시 동구 남목3동|11791|1122.5|1175451|1730465|1176978 1732353;1177086 1732120;1177119 1731984;1177403 1731602;1177439 1731602;1177380 1731396;1177493 1731212;1177385 1731351;1177380 1731193;1177505 1730904;1177486 1730925;1177518 1730861;1177465 1730744;1177471 1730661;1177466 1730463;1177504 1730331;1177325 1730220;1177218 1729964;1177237 1729946;1177246 1729878;1177236 1729755;1177061 1729393;1174481 1729676;1176978 1732353
울산광역시 동구 전하2동|19344|27781.6|1174606|1725519|1174664 1725787;1174687 1725787;1174688 1725787;1174713 1725785;1175083 1725747;1175092 1725746;1175090 1725733;1175046 1725350;1175008 1724969;1174912 1724979;1174663 1725005;1174646 1725007;1174606 1725011;1174601 1725012;1174601 1725012;1174605 1725042;1174608 1725070;1174605 1725074;1174240 1725112;1174069 1725182;1174064 1725657;1174065 1725771;1174664 1725787
울산광역시 북구 농소1동|35741|2345.4|1169103|1738918|1170024 1741722;1170373 1741018;1169989 1739833;1170365 1738698;1170298 1738182;1171278 1738475;1171398 1738053;1170367 1737091;1169930 1736473;1168757 1736186;1168642 1736110;1168119 1736091;1167815 1735827;1167545 1735838;1167561 1736734;1167448 1738344;1167060 1738807;1168132 1740176;1168832 1741615;1169116 1742686;1169473 1742914;1169904 1742807;1169770 1742075;1170024 1741722
울산광역시 북구 농소2동|42437|3879.7|1167570|1741813|1167960 1744162;1168692 1744124;1168940 1743724;1169498 1743165;1169473 1742910;1169113 1742692;1168901 1742094;1168799 1741500;1168132 1740176;1167457 1739032;1166682 1739305;1166539 1739578;1166266 1740184;1166137 1741623;1166029 1741814;1166050 1742129;1166169 1742333;1166315 1742549;1166336 1742715;1166149 1742989;1166797 1743261;1167244 1743801;1167530 1744044;1167960 1744162
울산광역시 북구 농소3동|36140|1162.2|1164895|1737975|1166005 1743057;1166251 1742450;1166002 1741859;1166520 1739704;1167046 1738808;1167682 1737393;1167494 1735455;1166886 1734912;1166257 1734641;1165871 1734839;1165098 1735058;1165013 1734727;1164399 1734482;1163959 1734062;1163401 1734610;1162664 1734488;1162289 1734440;1163004 1736928;1162528 1738182;1162784 1738944;1162624 1740149;1163879 1741955;1165453 1741833;1166005 1743057
울산광역시 북구 강동동|16117|263.3|1173799|1737132|1176954 1733202;1176992 1733195;1177001 1733113;1176994 1733112;1176954 1733202
울산광역시 북구 효문동|29237|1796.6|1169697|1731905|1171187 1734519;1171970 1734278;1171963 1733607;1171874 1732458;1171716 1732116;1170779 1731265;1170744 1731154;1169961 1730922;1169640 1730486;1170502 1729041;1170301 1728603;1170591 1728342;1170339 1728303;1169743 1728573;1169450 1728652;1168996 1729063;1167687 1729745;1167628 1730722;1167792 1730834;1167933 1731524;1167829 1731833;1167952 1732966;1169772 1734188;1171187 1734519
울산광역시 북구 송정동|35784|3324.7|1169579|1735208|1171411 1736540;1171494 1735622;1171490 1735461;1172162 1734546;1171556 1734421;1171084 1734536;1170589 1734104;1168315 1733460;1168180 1733192;1167866 1732892;1167514 1733278;1167444 1734041;1167485 1734302;1167453 1735210;1167739 1735802;1167815 1735827;1167907 1735939;1168590 1736092;1168702 1736143;1168778 1736205;1169927 1736472;1170264 1736849;1170881 1737388;1171411 1736540
울산광역시 북구 양정동|9391|1394.4|1171231|1730214|1172155 1731912;1172384 1731361;1172555 1731071;1172948 1731201;1172797 1730562;1171913 1730116;1171832 1729247;1171585 1728993;1170647 1727929;1170545 1728282;1170590 1728338;1170573 1728379;1170301 1728603;1170411 1729169;1170515 1729047;1169871 1729715;1169642 1730502;1169778 1730777;1169973 1730921;1170540 1731013;1170750 1731194;1170766 1731248;1170886 1731394;1172155 1731912
