stop_id,stop_name,lon,lat,utmk_x,utmk_y,cell_100,cell_1000,zone
70511,화암촛등공원,129.4110329,35.47635686,1173378.85,1721734.74,100_1173300_1721700,1000_1173000_1721000,울산광역시 동구
15235,화전교회,129.2263288,35.65360687,1156275.12,1741087.0,100_1156200_1741000,1000_1156000_1741000,울산광역시 울주군
15236,화전교회,129.2267882,35.65368278,1156316.56,1741096.16,100_1156300_1741000,1000_1156000_1741000,울산광역시 울주군
40313,화정마을,129.3408329,35.65723971,1166634.12,1741678.14,100_1166600_1741600,1000_1166000_1741000,울산광역시 북구
40314,화정마을,129.3412396,35.65708977,1166671.25,1741662.2,100_1166600_1741600,1000_1166000_1741000,울산광역시 북구
23303,화정마을,129.3342679,35.38952933,1166592.35,1711971.41,100_1166500_1711900,1000_1166000_1711000,울산광역시 울주군
23304,화정마을,129.3345112,35.38911136,1166615.31,1711925.46,100_1166600_1711900,1000_1166000_1711000,울산광역시 울주군
24619,화정마을입구,129.2929158,35.48752977,1162638.95,1722772.95,100_1162600_1722700,1000_1162000_1722000,울산광역시 울주군
24620,화정마을입구,129.2928737,35.48763134,1162634.92,1722784.15,100_1162600_1722700,1000_1162000_1722000,울산광역시 울주군
24614,화정마을회관앞,129.2810846,35.48933303,1161561.99,1722953.54,100_1161500_1722900,1000_1161000_1722000,울산광역시 울주군
24613,화정마을회관앞,129.2816348,35.48869722,1161613.18,1722883.91,100_1161600_1722800,1000_1161000_1722000,울산광역시 울주군
27123,화정주공아파트앞,129.4181833,35.49442885,1173988.68,1723751.97,100_1173900_1723700,1000_1173000_1723000,울산광역시 동구
27124,화정주공아파트앞,129.4183337,35.49425239,1174002.7,1723732.67,100_1174000_1723700,1000_1174000_1723000,울산광역시 동구
24237,화진맨션,129.4239894,35.48900444,1174527.12,1723160.53,100_1174500_1723100,1000_1174000_1723000,울산광역시 동구
24238,화진맨션,129.4250188,35.48962981,1174619.16,1723231.72,100_1174600_1723200,1000_1174000_1723000,울산광역시 동구
26906,화진중학교,129.4230614,35.49591691,1174427.98,1723925.66,100_1174400_1723900,1000_1174000_1723000,울산광역시 동구
