lon,lat,pop
129.33016,35.61748,77
129.31974,35.64469,6
129.37856,35.56265,1544
129.45057,35.57503,101
129.45642,35.58845,7
129.32444,35.60855,0
129.35327,35.6622,0
129.41824,35.6071,14
129.35078,35.55406,1080
129.3131,35.5952,0
129.36358,35.63049,84
129.42884,35.5889,7
129.42408,35.62053,0
129.35786,35.62157,2472
129.41229,35.58916,0
129.36816,35.58985,3252
129.3564,35.55848,1655
129.44506,35.57512,0
129.34099,35.6083,9
129.44517,35.57962,24
129.3134,35.60872,42
129.43003,35.63846,9
129.31371,35.62224,8
129.45708,35.61549,13
129.33599,35.63092,9401
129.35713,35.59002,1912
129.35796,35.62607,1771
129.35838,35.6441,2314
129.33671,35.66246,2893
129.35692,35.58101,27
129.30829,35.62683,23
129.36879,35.61689,33
129.30839,35.63133,133
129.42862,35.57989,33
129.36337,35.62148,584
129.35775,35.61706,170
129.32413,35.59504,14
129.42343,35.59349,0
129.36826,35.59436,3301
129.35317,35.6577,229
129.36921,35.63491,0
129.36795,35.58084,1309
129.34161,35.63534,478
129.33067,35.64001,1239
129.43533,35.62936,39
129.3742,35.6123,0
129.4178,35.58907,0
129.35307,35.65319,5952
129.32423,35.59954,0
129.39171,35.65259,0
129.33078,35.64452,401
129.43522,35.62486,2597
129.37845,35.55814,1617
129.44118,35.64279,167
129.29665,35.59996,0
129.44107,35.63828,1758
129.42916,35.60242,66
129.42873,35.58439,0
129.40072,35.56681,0
129.4468,35.64721,41
129.3463,35.59921,71
129.31381,35.62675,45
129.32975,35.59946,0
129.34671,35.61723,0
129.37378,35.59427,160
129.32536,35.64911,57
129.36223,35.57192,72
129.35223,35.61715,0
129.35671,35.572,33
129.37336,35.57625,50
129.3691,35.63041,9
129.33578,35.6219,95
129.36847,35.60337,7189
129.39192,35.6616,0
129.43954,35.5752,0
129.33109,35.65804,0
129.31401,35.63576,15
129.40849,35.66134,0
129.4072,35.60727,0
129.45145,35.61107,7
129.35286,35.64418,7258
129.33098,35.65353,25
129.30768,35.59979,11
129.36889,35.6214,23
129.39987,35.53076,268
129.43976,35.58422,25
129.3464,35.60371,0
129.3565,35.56299,424
129.42938,35.61143,23
129.36805,35.58535,4122
129.3414,35.62633,8
