node_id,mobile_id,stop_name,lon,lat,cell_100,cell_1000
USB196030265,30265,태봉마을,129.0084412,35.52332577,100_1136700_1726300,1000_1136000_1726000
USB196030266,30266,태봉마을,129.0083626,35.52338227,100_1136700_1726300,1000_1136000_1726000
USB196030267,30267,당산,129.0109514,35.53599542,100_1136900_1727700,1000_1136000_1727000
USB196030268,30268,당산,129.0108741,35.53617881,100_1136900_1727700,1000_1136000_1727000
USB196030269,30269,철구소,129.0126159,35.54575329,100_1137100_1728800,1000_1137000_1728000
USB196030270,30270,내리정마을,129.0207325,35.56074345,100_1137800_1730400,1000_1137000_1730000
USB196030271,30271,내리정마을,129.0209929,35.56073968,100_1137800_1730400,1000_1137000_1730000
USB196030272,30272,죽전마을,129.0099992,35.53138611,100_1136800_1727200,1000_1136000_1727000
USB196030273,30273,죽전마을,129.0101476,35.53138077,100_1136900_1727200,1000_1136000_1727000
USB196030274,30274,배내정상,129.0280076,35.57921988,100_1138400_1732500,1000_1138000_1732000
USB196030275,30275,배내정상,129.0281453,35.57923062,100_1138400_1732500,1000_1138000_1732000
USB196030276,30276,진우훼미리아파트,129.0729001,35.61620511,100_1142400_1736700,1000_1142000_1736000
USB196030277,30277,진우훼미리아파트,129.0727281,35.61622972,100_1142400_1736700,1000_1142000_1736000
USB196030278,30278,삼진아파트,129.0738559,35.61812031,100_1142500_1736900,1000_1142000_1736000
USB196030279,30279,삼진아파트,129.0736921,35.61836517,100_1142500_1736900,1000_1142000_1736000
USB196030280,30280,궁근정,129.0669399,35.6168521,100_1141900_1736700,1000_1141000_1736000
USB196030281,30281,궁근정,129.066793,35.61680982,100_1141800_1736700,1000_1141000_1736000
USB196030282,30282,토끼가든,129.0575606,35.63656367,100_1141000_1738900,1000_1141000_1738000
USB196030283,30283,토끼가든,129.057533,35.63673292,100_1141000_1738900,1000_1141000_1738000
USB196030285,30285,백련마을,129.0089195,35.52553648,100_1136800_1726500,1000_1136000_1726000
USB196030301,30301,활천입구,129.1955295,35.7097143,100_1153300_1747200,1000_1153000_1747000
USB196030302,30302,활천입구,129.1956808,35.70968338,100_1153300_1747200,1000_1153000_1747000
USB196030303,30303,가정마을,129.1940375,35.69401313,100_1153200_1745500,1000_1153000_1745000
USB196030304,30304,가정마을,129.1938269,35.69187018,100_1153200_1745200,1000_1153000_1745000
USB196030305,30305,미호,129.1768682,35.67417946,100_1151700_1743200,1000_1151000_1743000
USB196030306,30306,미호입구(하동),129.1769359,35.67434632,100_1151700_1743300,1000_1151000_1743000
USB196030307,30307,두서농공단지,129.1742599,35.66806197,100_1151500_1742600,1000_1151000_1742000
USB196030308,30308,두서농공단지,129.1745002,35.66820078,100_1151500_1742600,1000_1151000_1742000
USB196030309,30309,유촌입구,129.173732,35.66538548,100_1151400_1742300,1000_1151000_1742000
USB196030310,30310,유촌입구,129.1738451,35.66514486,100_1151500_1742200,1000_1151000_1742000
USB196030311,30311,전읍,129.172323,35.66246409,100_1151300_1741900,1000_1151000_1741000
USB196030312,30312,전읍,129.1726967,35.66273742,100_1151400_1742000,1000_1151000_1742000
USB196030313,30313,두광중학교,129.1686507,35.65625881,100_1151000_1741200,1000_1151000_1741000
USB196030314,30314,두광중학교,129.1690079,35.65639347,100_1151000_1741300,1000_1151000_1741000
USB196030315,30315,인보,129.1591954,35.64337508,100_1150200_1739800,1000_1150000_1739000
USB196030316,30316,인보,129.1605444,35.64292062,100_1150300_1739700,1000_1150000_1739000
USB196030317,30317,서하,129.1580393,35.63864761,100_1150100_1739300,1000_1150000_1739000
USB196030318,30318,서하,129.1582143,35.63872259,100_1150100_1739300,1000_1150000_1739000
USB196030319,30319,대정,129.1582779,35.63502605,100_1150100_1738900,1000_1150000_1738000
USB196030320,30320,대정,129.1583982,35.63510258,100_1150100_1738900,1000_1150000_1738000
USB196030321,30321,방말,129.1576867,35.63075562,100_1150100_1738400,1000_1150000_1738000
USB196030322,30322,방말,129.158126,35.63129949,100_1150100_1738500,1000_1150000_1738000
USB195026309,26309,화암입구,129.440218,35.63198924,100_1175600_1739000,1000_1175000_1739000
USB195026310,26310,화암입구,129.4405748,35.63133594,100_1175700_1738900,1000_1175000_1738000
USB195026311,26311,산음,129.4428211,35.62466622,100_1175900_1738200,1000_1175000_1738000
USB195026312,26312,산음,129.4433981,35.62420113,100_1175900_1738100,1000_1175000_1738000
USB195026313,26313,북정자,129.446071,35.6212841,100_1176200_1737800,1000_1176000_1737000
USB195026314,26314,북정자,129.4464674,35.62102812,100_1176200_1737800,1000_1176000_1737000
USB195026315,26315,아진비치아파트,129.4473212,35.61948247,100_1176300_1737600,1000_1176000_1737000
USB195026316,26316,아진비치아파트,129.4473902,35.61967575,100_1176300_1737600,1000_1176000_1737000
USB195026318,26318,정자,129.4477752,35.61536685,100_1176400_1737200,1000_1176000_1737000
USB195026319,26319,강동동행정복지센터,129.4455696,35.61346985,100_1176200_1737000,1000_1176000_1737000
USB195026320,26320,강동동행정복지센터,129.4455283,35.61325548,100_1176200_1736900,1000_1176000_1736000
USB195026321,26321,주렴,129.4370202,35.60831278,100_1175400_1736400,1000_1175000_1736000
USB195026322,26322,주렴,129.4371246,35.60822798,100_1175400_1736400,1000_1175000_1736000
USB195026323,26323,달곡마을,129.4327721,35.60468723,100_1175000_1736000,1000_1175000_1736000
USB195026324,26324,달곡마을,129.4328599,35.60460319,100_1175000_1735900,1000_1175000_1735000
USB195026325,26325,신전마을,129.4307473,35.59814074,100_1174900_1735200,1000_1174000_1735000
USB195026326,26326,신전마을,129.4309123,35.5985127,100_1174900_1735300,1000_1174000_1735000
USB195026327,26327,구남마을,129.4296179,35.59225177,100_1174800_1734600,1000_1174000_1734000
USB195026328,26328,구남마을,129.4298344,35.59225705,100_1174800_1734600,1000_1174000_1734000
USB195026329,26329,무룡고개,129.3998823,35.58063217,100_1172100_1733200,1000_1172000_1733000
USB195026330,26330,무룡고개,129.4003126,35.58082484,100_1172100_1733300,1000_1172000_1733000
USB195026331,26331,옥천암입구,129.3831097,35.57843813,100_1170600_1733000,1000_1170000_1733000
USB195026332,26332,옥천암입구,129.3835783,35.57824043,100_1170600_1732900,1000_1170000_1732000
USB195026333,26333,상연암,129.3764941,35.5781734,100_1170000_1732900,1000_1170000_1732000
USB195026334,26334,상연암,129.3769436,35.57799355,100_1170000_1732900,1000_1170000_1732000
USB195026335,26335,모듈화산업단지입구,129.3743822,35.57793861,100_1169800_1732900,1000_1169000_1732000
USB195026336,26336,모듈화산업단지입구,129.3743097,35.57772491,100_1169800_1732900,1000_1169000_1732000
USB195026337,26337,삼주기업앞,129.3663998,35.57670333,100_1169100_1732700,1000_1169000_1732000
USB195026338,26338,삼주기업앞,129.3661217,35.57652198,100_1169000_1732700,1000_1169000_1732000
USB195026339,26339,연암배면교차로,129.369979,35.57760898,100_1169400_1732800,1000_1169000_1732000
USB195026340,26340,연암배면교차로,129.3699756,35.57745914,100_1169400_1732800,1000_1169000_1732000
USB195026341,26341,북구청남문,129.3613571,35.58087701,100_1168600_1733200,1000_1168000_1733000
USB195026342,26342,북구청남문,129.3613424,35.58065879,100_1168600_1733200,1000_1168000_1733000
USB195026343,26343,산하,129.4408778,35.62886357,100_1175700_1738700,1000_1175000_1738000
USB195026344,26344,산하,129.4411473,35.62870573,100_1175700_1738600,1000_1175000_1738000
USB195026345,26345,정자,129.4475349,35.61555053,100_1176300_1737200,1000_1176000_1737000
USB195026346,26346,신명(달맞이휴게소),129.4455753,35.64757,100_1176100_1740700,1000_1176000_1740000
USB195026347,26347,신명휴게소,129.448132,35.65140594,100_1176300_1741200,1000_1176000_1741000
USB195026348,26348,주렴마을,129.4314246,35.60995393,100_1174900_1736500,1000_1174000_1736000
USB195026349,26349,주렴마을,129.4314632,35.61007346,100_1174900_1736600,1000_1174000_1736000
USB195026350,26350,푸르지오1차,129.4357695,35.63705674,100_1175200_1739600,1000_1175000_1739000
USB195026351,26351,푸르지오1차,129.4348572,35.63695358,100_1175100_1739500,1000_1175000_1739000
USB195026353,26353,군부대앞,129.4400304,35.63784336,100_1175600_1739600,1000_1175000_1739000
USB195026354,26354,군부대앞,129.440261,35.637895,100_1175600_1739700,1000_1175000_1739000
USB195026355,26355,강동중학교,129.4373625,35.62896219,100_1175400_1738700,1000_1175000_1738000
USB195026356,26356,강동중학교,129.437665,35.6285873,100_1175400_1738600,1000_1175000_1738000
USB195026357,26357,푸르지오2차,129.438882,35.6247522,100_1175500_1738200,1000_1175000_1738000
USB195026358,26358,푸르지오2차,129.4390403,35.62495535,100_1175500_1738200,1000_1175000_1738000
USB195026359,26359,산하사거리,129.4406814,35.62395439,100_1175700_1738100,1000_1175000_1738000
USB195026360,26360,산하사거리,129.4387563,35.62348899,100_1175500_1738100,1000_1175000_1738000
USB195026361,26361,스포츠과학중고교,129.4330428,35.62469107,100_1175000_1738200,1000_1175000_1738000
USB195026362,26362,스포츠과학중고교,129.4335149,35.62474806,100_1175000_1738200,1000_1175000_1738000
USB195026364,26364,물먹는골,129.4118249,35.58678575,100_1173200_1733900,1000_1173000_1733000
USB195026365,26365,물먹는골,129.4111539,35.58661169,100_1173100_1733900,1000_1173000_1733000
USB195026366,26366,강동초등학교,129.4372445,35.63174523,100_1175400_1739000,1000_1175000_1739000
USB195026367,26367,강동초등학교,129.437008,35.63190882,100_1175300_1739000,1000_1175000_1739000
USB195026368,26368,신현동,129.4188472,35.5896673,100_1173800_1734300,1000_1173000_1734000
USB195026369,26369,신현동,129.4184224,35.58966887,100_1173800_1734300,1000_1173000_1734000
USB195026371,26371,강동서희스타힐스,129.4376272,35.63635185,100_1175400_1739500,1000_1175000_1739000
USB195026372,26372,강동서희스타힐스,129.4377484,35.63643275,100_1175400_1739500,1000_1175000_1739000
USB195026373,26373,울산안전체험관입구,129.44371,35.62048004,100_1176000_1737700,1000_1176000_1737000
USB195026374,26374,울산안전체험관입구,129.4440662,35.61964338,100_1176000_1737600,1000_1176000_1737000
USB195026375,26375,정자사거리,129.4472175,35.61469825,100_1176300_1737100,1000_1176000_1737000
USB195026376,26376,웰빙숲체험마을,129.4247013,35.58998189,100_1174300_1734300,1000_1174000_1734000
USB195026377,26377,웰빙숲체험마을,129.4245716,35.59010419,100_1174300_1734300,1000_1174000_1734000
USB195026378,26378,산하중앙사거리,129.4387992,35.63608409,100_1175500_1739500,1000_1175000_1739000
USB195026379,26379,산하중앙사거리,129.4387983,35.63625099,100_1175500_1739500,1000_1175000_1739000
USB195026380,26380,활어직판장,129.4505367,35.61817323,100_1176600_1737500,1000_1176000_1737000
USB195026400,26400,에프유,129.3754448,35.58105554,100_1169900_1733200,1000_1169000_1733000
USB195026401,26401,오에스,129.3744743,35.58290095,100_1169800_1733400,1000_1169000_1733000
USB195026402,26402,중앙공업,129.3748025,35.58016389,100_1169800_1733100,1000_1169000_1733000
USB195026403,26403,현대글로비스,129.3756465,35.57548602,100_1169900_1732600,1000_1169000_1732000
USB195026404,26404,센트랄,129.3763514,35.5724573,100_1170000_1732300,1000_1170000_1732000
USB196030323,30323,구량천전,129.1492874,35.61690732,100_1149300_1736800,1000_1149000_1736000
USB196030324,30324,구량천전,129.1495324,35.61688605,100_1149300_1736800,1000_1149000_1736000
USB196030325,30325,반구대입구,129.1472826,35.61390573,100_1149100_1736500,1000_1149000_1736000
USB196030326,30326,반구대입구,129.1476028,35.61405701,100_1149200_1736500,1000_1149000_1736000
USB196030327,30327,진현,129.1458965,35.61020783,100_1149000_1736100,1000_1149000_1736000
USB196030328,30328,진현,129.1465908,35.61082576,100_1149100_1736200,1000_1149000_1736000
USB196030329,30329,옥동,129.1442076,35.60695837,100_1148900_1735700,1000_1148000_1735000
