stop_id,lon,lat
30221,129.0931419,35.58784004
30222,129.0928735,35.58821754
23904,129.3148189,35.57233827
23903,129.314893,35.57322206
23909,129.3154642,35.57410088
23910,129.3159583,35.57450362
15203,129.2043459,35.70728836
15204,129.204461,35.70757233
15387,129.2027496,35.70988043
15386,129.2028617,35.70994511
77101,129.1143897,35.56238382
15434,129.1144591,35.56208642
30351,129.1962503,35.71237358
30352,129.1963743,35.71229522
40515,129.329126,35.5602968
3018,129.0585053,35.70478517
3019,129.059031,35.70313513
30343,129.1322777,35.58048745
30344,129.1326902,35.5817647
15455,129.0748621,35.60520475
2668,129.0502918,35.3836468
3442,129.0501092,35.38374271
77513,129.2850554,35.3296805
77509,129.2858999,35.32962596
30349,129.1525472,35.62279199
30350,129.152756,35.62270828
30338,129.1360452,35.59712384
30337,129.1353693,35.59639017
31716,129.3398844,35.53832202
31715,129.3396219,35.53771055
20701,129.1686181,35.65290702
20702,129.1687615,35.65304789
76808,129.17339,35.44556098
76809,129.1735196,35.44554064
15968,129.2830387,35.33216811
15967,129.2829858,35.33235506
77502,129.2850385,35.33777219
77501,129.2848751,35.33771853
30372,129.1294533,35.60262836
30373,129.129551,35.60272885
30331,129.1418893,35.6049992
30332,129.1421962,35.60497572
40392,129.3616499,35.59938293
40393,129.3614459,35.5993536
40386,129.3705162,35.60130421
40388,129.3658645,35.60566983
40380,129.3659671,35.60606202
11408,129.3440216,35.58813473
11409,129.3439035,35.58829133
25339,129.3638445,35.63168654
25330,129.3644195,35.63127638
23201,129.3421599,35.53601769
23202,129.3423681,35.53627558
31609,129.3312767,35.43872595
31610,129.330977,35.43874165
30125,129.1024332,35.53035442
59191,129.0557202,35.39527906
30126,129.1029835,35.53051113
59192,129.0558826,35.3952548
26302,129.4415754,35.64550989
26301,129.4413924,35.64551273
40404,129.3097744,35.53301001
40403,129.310296,35.53278625
40402,129.3093548,35.53287975
40401,129.3098557,35.53266291
40601,129.2791456,35.5371085
40602,129.2784352,35.53808635
30417,129.1627813,35.54966369
30418,129.1628891,35.54981326
70703,129.4177703,35.49787036
65503,129.2553021,35.54122876
15717,129.1732944,35.44376181
15718,129.1734162,35.44394558
14208,129.3143141,35.65306032
14207,129.3142001,35.65300462
2015,129.4502907,35.6637178
2016,129.450461,35.66364872
2013,129.4500489,35.66442918
2014,129.45022,35.66436439
30439,129.1682417,35.66749142
30440,129.1682213,35.66730021
30375,129.1311112,35.58851422
30374,129.1312068,35.58842153
23607,129.3311786,35.53245338
23608,129.3310151,35.53270982
70503,129.427955,35.50639978
70504,129.4278406,35.50638265
71702,129.3575523,35.641752
71701,129.3575363,35.64193339
15716,129.175684,35.45077829
15715,129.1755567,35.45083599
76807,129.17434,35.44765274
76806,129.1741924,35.44774109
15708,129.1798219,35.45334629
15707,129.1797479,35.45345024
15436,129.1163194,35.56100505
15435,129.1160115,35.56080684
15432,129.113888,35.55984789
15431,129.1137813,35.56002037
24380,129.1228051,35.4845872
24381,129.1218906,35.48437576
20431,129.2335323,35.56725009
20430,129.2333797,35.56711291
59234,129.0650445,35.32044519
59232,129.0650844,35.32063651
14009,129.4298785,35.58883616
14010,129.4297447,35.58883494
26328,129.4298344,35.59225705
26327,129.4296179,35.59225177
30476,129.1433444,35.61838022
30477,129.1431987,35.61831496
